AccountCode,AccountDescription,AccountCombined
1320,PURCHASED USED EQP FOR RESALE,1320-PURCHASED USED EQP FOR RESALE
1325,CONSIGNMENT,1325-CONSIGNMENT
1330,BULK EQUIPMENT INVENTORY,1330-BULK EQUIPMENT INVENTORY
1331,NEW BULK MERCHANDISE,1331-NEW BULK MERCHANDISE
1335,ACCUM AMORT- BULK EQUIPMENT,1335-ACCUM AMORT- BULK EQUIPMENT
1340,PARTS & MERCHANDISE OTHER,1340-PARTS & MERCHANDISE OTHER
1345,CAT PARTS & MERCHANDISE,1345-CAT PARTS & MERCHANDISE
1350,RETAIL MERCHANDISE,1350-RETAIL MERCHANDISE
1355,PARTS INVENTORY ADJUSTMENTS,1355-PARTS INVENTORY ADJUSTMENTS
1360,PARTS FOR PRODUCT BUILDS,1360-PARTS FOR PRODUCT BUILDS
1390,PARTS INVENTORY PROVISIONS,1390-PARTS INVENTORY PROVISIONS
1420,ACCRUALS,1420-ACCRUALS
1430,UNBILLED RENTAL ACCRUAL,1430-UNBILLED RENTAL ACCRUAL
1440,PROJECTS IN PROGRESS,1440-PROJECTS IN PROGRESS
1480,PREPAID - GENERAL,1480-PREPAID - GENERAL
1481,PREPAID INSURANCE,1481-PREPAID INSURANCE
1482,PREPAID LEASE/RENT,1482-PREPAID LEASE/RENT
1483,PREPAID PROPERTY TAX,1483-PREPAID PROPERTY TAX
1484,PREPAID WCB,1484-PREPAID WCB
1485,PREPAID LICENSES/FEES,1485-PREPAID LICENSES/FEES
1486,CITI CAT FINANCE SUBSIDY,1486-CITI CAT FINANCE SUBSIDY
1509,USED RENTAL EQUIP-OPENING BALANCES,1509-USED RENTAL EQUIP-OPENING BALANCES
1510,RENTAL EQUIP-OPENING BALANCES,1510-RENTAL EQUIP-OPENING BALANCES
1511,RENTAL EQUIP-ADDITIONS,1511-RENTAL EQUIP-ADDITIONS
1512,RENTAL EQUIP-DISPOSALS,1512-RENTAL EQUIP-DISPOSALS
1513,RENTAL EQUIP-INTER-BRN TRANSFER,1513-RENTAL EQUIP-INTER-BRN TRANSFER
1515,RENTAL FLEET FREIGHT CAPITALIZED,1515-RENTAL FLEET FREIGHT CAPITALIZED
1516,CAPITALIZED PARTS/EQUIP - PDI,1516-CAPITALIZED PARTS/EQUIP - PDI
1520,BUILDINGS,1520-BUILDINGS
1521,BUILDINGS-ADDITIONS,1521-BUILDINGS-ADDITIONS
1522,BUILDINGS-DISPOSALS,1522-BUILDINGS-DISPOSALS
1530,MACHINERY & EQUIPMENT,1530-MACHINERY & EQUIPMENT
1531,MACHINERY-ADDITIONS,1531-MACHINERY-ADDITIONS
1532,MACHINERY-DISPOSALS,1532-MACHINERY-DISPOSALS
1533,MACHINERY-INTER-BRN TRNSFR,1533-MACHINERY-INTER-BRN TRNSFR
1540,SOFTWARE,1540-SOFTWARE
1541,SOFTWARE-ADDITIONS,1541-SOFTWARE-ADDITIONS
1542,SOFTWARE-DISPOSALS,1542-SOFTWARE-DISPOSALS
1550,COMPUTER EQUIPMENT,1550-COMPUTER EQUIPMENT
1551,COMPUTER EQUIP-ADDITIONS,1551-COMPUTER EQUIP-ADDITIONS
1552,COMPUTER EQUIP-DISPOSALS,1552-COMPUTER EQUIP-DISPOSALS
1560,FURNITURE & FIXTURES,1560-FURNITURE & FIXTURES
1561,FURNITURE-ADDITIONS,1561-FURNITURE-ADDITIONS
1562,FURNITURE-DISPOSALS,1562-FURNITURE-DISPOSALS
1570,SERVICE VEHICLES,1570-SERVICE VEHICLES
1571,SERVICE VEHICLES-ADDITIONS,1571-SERVICE VEHICLES-ADDITIONS
1572,SERVICE VEHICLES-DISPOSALS,1572-SERVICE VEHICLES-DISPOSALS
1590,LEASEHOLD IMPROVEMENTS,1590-LEASEHOLD IMPROVEMENTS
1591,LEASEHOLD IMPROVEMENT-ADDITIONS,1591-LEASEHOLD IMPROVEMENT-ADDITIONS
1592,LEASEHOLD IMPROVEMENT-DISPOSALS,1592-LEASEHOLD IMPROVEMENT-DISPOSALS
1609,ACCUMULATED DEP'N - USED RENTAL FLEET,1609-ACCUMULATED DEP'N - USED RENTAL FLEET
1610,ACCUMULATED DEP'N - RENTAL FLEET,1610-ACCUMULATED DEP'N - RENTAL FLEET
1611,RENTAL EQUIP DEPR-ADDITIONS,1611-RENTAL EQUIP DEPR-ADDITIONS
1612,RENTAL EQUIP DEPR-DISPOSALS,1612-RENTAL EQUIP DEPR-DISPOSALS
1613,RENTAL EQUIP DEPR-INTER-BRN TRNFR,1613-RENTAL EQUIP DEPR-INTER-BRN TRNFR
1620,BUILDINGS ACCUM. DEPRECIATION,1620-BUILDINGS ACCUM. DEPRECIATION
1621,BUILDINGS DEPRECIATION-ADDITIONS,1621-BUILDINGS DEPRECIATION-ADDITIONS
1622,BUILDINGS DEPRECIATION-DISPOSALS,1622-BUILDINGS DEPRECIATION-DISPOSALS
1630,SHOP EQUIPMENT ACCUM.  DEPRECIATION,1630-SHOP EQUIPMENT ACCUM.  DEPRECIATION
1631,SHOP EQUIPMENT  DEPR-ADDITIONS,1631-SHOP EQUIPMENT  DEPR-ADDITIONS
1632,SHOP EQUIPMENT DEPR-DISPOSALS,1632-SHOP EQUIPMENT DEPR-DISPOSALS
1633,SHOP EQUIP.DEPR-INTER-BRN TRNSFR,1633-SHOP EQUIP.DEPR-INTER-BRN TRNSFR
1640,SOFTWARE DEPRECIATION,1640-SOFTWARE DEPRECIATION
1641,SOFTWARE DEPRECIATION-ADDITIONS,1641-SOFTWARE DEPRECIATION-ADDITIONS
1642,SOFTWARE DEPRECIATION-DISPOSALS,1642-SOFTWARE DEPRECIATION-DISPOSALS
1650,COMPUTER EQUIP ACCUM. DEPRECIATION,1650-COMPUTER EQUIP ACCUM. DEPRECIATION
1651,COMPUTER EQUIP DEPR-ADDITIONS,1651-COMPUTER EQUIP DEPR-ADDITIONS
1652,COMPUTER EQUIP DEPR-DISPOSALS,1652-COMPUTER EQUIP DEPR-DISPOSALS
1660,FURNITURE & FIXTURES  ACCUM.DEPRECIATION,1660-FURNITURE & FIXTURES  ACCUM.DEPRECIATION
1661,FURNITURE DEPR-ADDITIONS,1661-FURNITURE DEPR-ADDITIONS
1662,FURNITURE DEPR-DISPOSALS,1662-FURNITURE DEPR-DISPOSALS
1670,SERVICE VEHICLES DEPRECIATION,1670-SERVICE VEHICLES DEPRECIATION
1671,SERVICE VEHICLES DEPR-ADDITIONS,1671-SERVICE VEHICLES DEPR-ADDITIONS
1672,SERVICE VEHICLES DEPR-DISPOSALS,1672-SERVICE VEHICLES DEPR-DISPOSALS
1690,LEASEHOLD IMPROVEMENT DEPRECIATION,1690-LEASEHOLD IMPROVEMENT DEPRECIATION
1691,LEASEHOLD IMPROVE DEPR-ADDITIONS,1691-LEASEHOLD IMPROVE DEPR-ADDITIONS
1692,LEASEHOLD IMPROVE DEPR-DISPOSALS,1692-LEASEHOLD IMPROVE DEPR-DISPOSALS
1710,EMPLOYEE SOCIAL FUND,1710-EMPLOYEE SOCIAL FUND
1720,INCOME TAX-DEFERRED-ASSET,1720-INCOME TAX-DEFERRED-ASSET
1730,GOODWILL,1730-GOODWILL
1731,GOODWILL SASKATCHEWAN ACQ,1731-GOODWILL SASKATCHEWAN ACQ
1735,DEVELOPMENT COSTS - ADM,1735-DEVELOPMENT COSTS - ADM
1736,ACQUISITION COSTS SASK,1736-ACQUISITION COSTS SASK
1740,ACCUM. AMORT.OF DEVELOPMENT COST,1740-ACCUM. AMORT.OF DEVELOPMENT COST
1741,ACQUISITION COSTS SASK-ACC AMORT,1741-ACQUISITION COSTS SASK-ACC AMORT
1750,INVESTMENTS IN SUBSIDIARIES,1750-INVESTMENTS IN SUBSIDIARIES
2010,ACCOUNTS PAYABLE,2010-ACCOUNTS PAYABLE
2011,CHEQUE REFUNDS PAYABLE,2011-CHEQUE REFUNDS PAYABLE
2015,US$ ACCOUNTS PAYABLE,2015-US$ ACCOUNTS PAYABLE
2020,CASH CUSTOMER DEPOSITS,2020-CASH CUSTOMER DEPOSITS
2025,CUSTOMER DEPOSITS,2025-CUSTOMER DEPOSITS
2090,CURRENT NOTES PAYABLE,2090-CURRENT NOTES PAYABLE
2110,GST PAID ON PURCHASES,2110-GST PAID ON PURCHASES
2115,GST CHARGED ON SALES,2115-GST CHARGED ON SALES
2116,REVENUE CANADA WITHHOLDING TAX,2116-REVENUE CANADA WITHHOLDING TAX
2117,REVENUE CANADA NON-RESIDENT TAX-SERVICE,2117-REVENUE CANADA NON-RESIDENT TAX-SERVICE
2120,BC PROVINCIAL TAX,2120-BC PROVINCIAL TAX
2125,SASK PROVINCIAL TAX,2125-SASK PROVINCIAL TAX
2126,MANITOBA PROVINCIAL TAX,2126-MANITOBA PROVINCIAL TAX
2127,ONTARIO PROVINCIAL TAX,2127-ONTARIO PROVINCIAL TAX
2128,QUEBEC PROVINCIAL TAX,2128-QUEBEC PROVINCIAL TAX
2130,CPP PAYABLE,2130-CPP PAYABLE
2132,EI PAYABLE,2132-EI PAYABLE
2133,EMPLOYEE TAX PAYABLE,2133-EMPLOYEE TAX PAYABLE
2150,FEDERAL INCOME TAX(CURRENT YR),2150-FEDERAL INCOME TAX(CURRENT YR)
2151,PROVINCIAL INCOME TAX-ALTA,2151-PROVINCIAL INCOME TAX-ALTA
2155,PROVINCIAL INCOME TAX-B.C,2155-PROVINCIAL INCOME TAX-B.C
2160,RECEIVER GENERAL,2160-RECEIVER GENERAL
2161,B.C HEALTH CARE,2161-B.C HEALTH CARE
2162,ALBERTA HEALTH CARE,2162-ALBERTA HEALTH CARE
2163,LTD INSURANCE,2163-LTD INSURANCE
2164,RRSP PAYROLL DEDUCTIONS PAYABLE,2164-RRSP PAYROLL DEDUCTIONS PAYABLE
2165,STOCK PURCHASE PLAN,2165-STOCK PURCHASE PLAN
2166,WORKERS COMPENSATION ACCRUAL,2166-WORKERS COMPENSATION ACCRUAL
2170,RE-RENT COST ACCRUAL,2170-RE-RENT COST ACCRUAL
2171,PAYROLL DEDUCTIONS PAYABLE,2171-PAYROLL DEDUCTIONS PAYABLE
2175,TAX LEVIES PAYABLE,2175-TAX LEVIES PAYABLE
2180,ACCRUED EXPENSE OTHER,2180-ACCRUED EXPENSE OTHER
2181,LEGAL PROVISION,2181-LEGAL PROVISION
2183,TAX PROVISIONS,2183-TAX PROVISIONS
2185,WAGE ACCRUAL,2185-WAGE ACCRUAL
2186,VACATION PAY ACCRUAL,2186-VACATION PAY ACCRUAL
2187,VACATION PAY ACCRUAL - UNION,2187-VACATION PAY ACCRUAL - UNION
2190,BONUS PAYABLE,2190-BONUS PAYABLE
2195,LONG TERM INCENTIVE PLAN PAYABLE,2195-LONG TERM INCENTIVE PLAN PAYABLE
2210,CLEARING/SUSPENSE,2210-CLEARING/SUSPENSE
2270,INTERCOMPANY-FINNING,2270-INTERCOMPANY-FINNING
2271,NON-TRADE FINNING SASK AP,2271-NON-TRADE FINNING SASK AP
2272,NON-TRADE 4REFUEL AP,2272-NON-TRADE 4REFUEL AP
2275,INTERCOMPANY-RAYDON,2275-INTERCOMPANY-RAYDON
2276,INTERCOMPANY-RENTAL SHOP,2276-INTERCOMPANY-RENTAL SHOP
2290,FINNING TRADE AP,2290-FINNING TRADE AP
2291,TRADE FINNING SASK AP,2291-TRADE FINNING SASK AP
2292,TRADE FINNING 4REFUEL AP,2292-TRADE FINNING 4REFUEL AP
2293,TRADE FINNING FUSED AP,2293-TRADE FINNING FUSED AP
2310,CAT-FINANCING,2310-CAT-FINANCING
2410,LONG TERM DEBT,2410-LONG TERM DEBT
2510,NOTES PAYABLE,2510-NOTES PAYABLE
2610,INCOME TAX-DEFERRED,2610-INCOME TAX-DEFERRED
2710,OTHER ACCRUED/DEFERRED,2710-OTHER ACCRUED/DEFERRED
2810,OTHER LIABILITIES,2810-OTHER LIABILITIES
3010,SHARE CAPITAL,3010-SHARE CAPITAL
3020,RETAINED EARNINGS,3020-RETAINED EARNINGS
3025,CURRENT EARNINGS,3025-CURRENT EARNINGS
3030,DIVIDENDS,3030-DIVIDENDS
4010,RENTALS - SITE SERVICES EQUIPMENT,4010-RENTALS - SITE SERVICES EQUIPMENT
4015,RENTALS - EARTH MOVING EQUIPMENT,4015-RENTALS - EARTH MOVING EQUIPMENT
4020,RENTALS - SITE SERVICES ACCESSORIES,4020-RENTALS - SITE SERVICES ACCESSORIES
4025,RENTALS - SHORING EQUIPMENT,4025-RENTALS - SHORING EQUIPMENT
4030,RENTAL/PURCHASE OPTION,4030-RENTAL/PURCHASE OPTION
4040,RENTALS - ELECTRICAL EQUIPMENT,4040-RENTALS - ELECTRICAL EQUIPMENT
4041,RENTALS - COMPRESSOR EQP SMALL,4041-RENTALS - COMPRESSOR EQP SMALL
4042,RENTALS - COMPRESSOR ACCESSORIES SMALL,4042-RENTALS - COMPRESSOR ACCESSORIES SMALL
4043,RENTALS - COMPRESSOR EQP LARGE,4043-RENTALS - COMPRESSOR EQP LARGE
4044,RENTALS - COMPRESSOR ACCESSORIES LARGE,4044-RENTALS - COMPRESSOR ACCESSORIES LARGE
4045,RENTALS - SHORING ACCESSORIES,4045-RENTALS - SHORING ACCESSORIES
4046,RENTALS - POWER EQUIPMENT LARGE,4046-RENTALS - POWER EQUIPMENT LARGE
4047,RENTALS - POWER ACCESSORIES LARGE,4047-RENTALS - POWER ACCESSORIES LARGE
4050,RE-RENTALS - EQUIPMENT,4050-RE-RENTALS - EQUIPMENT
4055,RE-RENTALS - ACCESSORIES,4055-RE-RENTALS - ACCESSORIES
4056,RENTALS - POWER EQUIPMENT SMALL,4056-RENTALS - POWER EQUIPMENT SMALL
4057,RENTALS - FORKLIFT EQUIPMENT,4057-RENTALS - FORKLIFT EQUIPMENT
4058,RENTALS - HCIAQ EQUIPMENT LARGE,4058-RENTALS - HCIAQ EQUIPMENT LARGE
4059,RENTALS - HCIAQ ACCESSORIES LARGE,4059-RENTALS - HCIAQ ACCESSORIES LARGE
4061,RENTALS - HCIAQ EQUIPMENT SMALL,4061-RENTALS - HCIAQ EQUIPMENT SMALL
4062,RENTALS - HCIAQ ACCESSORIES SMALL,4062-RENTALS - HCIAQ ACCESSORIES SMALL
4063,RENTALS - POWER ACCESSORIES SMALL,4063-RENTALS - POWER ACCESSORIES SMALL
4064,RENTALS - EARTH MOVING ACCESSORIES,4064-RENTALS - EARTH MOVING ACCESSORIES
4065,RENTALS - INDUSTRIAL EQUIPMENT,4065-RENTALS - INDUSTRIAL EQUIPMENT
4066,RENTALS - INDUSTRIAL ACCESSORIES,4066-RENTALS - INDUSTRIAL ACCESSORIES
4067,RENTALS - FORKLIFT ACCESSORIES,4067-RENTALS - FORKLIFT ACCESSORIES
4068,RENTALS - PUMP EQUIPMENT,4068-RENTALS - PUMP EQUIPMENT
4069,RENTALS - PUMP ACCESSORIES,4069-RENTALS - PUMP ACCESSORIES
4070,DAMAGE WAIVER FEE,4070-DAMAGE WAIVER FEE
4071,DAMAGE WAIVER DEDUCTIBLE BILLED TO CUSTOMER,4071-DAMAGE WAIVER DEDUCTIBLE BILLED TO CUSTOMER
4072,RENTAL EQUIPMENT DAMAGE RECOVERY-BILL TO CUSTOMER,4072-RENTAL EQUIPMENT DAMAGE RECOVERY-BILL TO CUSTOMER
4073,INSURANCE BILLED TO CUSTOMER,4073-INSURANCE BILLED TO CUSTOMER
4075,WEAR CHARGE,4075-WEAR CHARGE
4080,CTRS FREIGHT BILLED TO CUSTOMER,4080-CTRS FREIGHT BILLED TO CUSTOMER
4082,CTRS 5TON CARTAGE BILL/CUSTOMER,4082-CTRS 5TON CARTAGE BILL/CUSTOMER
4083,CTRS TRACTOR CARTAGE BILL CUST,4083-CTRS TRACTOR CARTAGE BILL CUST
4085,THIRD PARTY FREIGHT BILL TO CUST,4085-THIRD PARTY FREIGHT BILL TO CUST
4086,PICKUP & DELIVERY FUEL SURCHARGE REVENUE,4086-PICKUP & DELIVERY FUEL SURCHARGE REVENUE
4090,FUEL BILLED TO CUSTOMER,4090-FUEL BILLED TO CUSTOMER
4091,ENVIRO FEE CHARGE,4091-ENVIRO FEE CHARGE
4095,MISCELLANEOUS REVENUE,4095-MISCELLANEOUS REVENUE
4110,SALES - PARTS BILLED TO CUSTOMER,4110-SALES - PARTS BILLED TO CUSTOMER
4120,SALES - CAT PARTS BILLED TO CUSTOMER,4120-SALES - CAT PARTS BILLED TO CUSTOMER
4140,SALES - BULK MERCHANDISE BILL TO CUSTOMER,4140-SALES - BULK MERCHANDISE BILL TO CUSTOMER
4150,SALES - RETAIL MERCHANDISE BILLED to CUSTOMER,4150-SALES - RETAIL MERCHANDISE BILLED to CUSTOMER
4210,CTRS-LABOUR BILLED TO CUSTOMER,4210-CTRS-LABOUR BILLED TO CUSTOMER
4220,MISC SHOP EXPENSE BILLED TO CUSTOMER,4220-MISC SHOP EXPENSE BILLED TO CUSTOMER
4230,THIRD PARTY LABOUR - BILL TO CUSTOMER,4230-THIRD PARTY LABOUR - BILL TO CUSTOMER
4240,SHUTDOWN LABOUR - BILL TO CUSTOMER,4240-SHUTDOWN LABOUR - BILL TO CUSTOMER
4310,SALES - NEW SITE SERVICES EQUIPMENT,4310-SALES - NEW SITE SERVICES EQUIPMENT
4320,SALES - USED EQUIPMENT,4320-SALES - USED EQUIPMENT
4330,SALES - NEW EARTH MOVING,4330-SALES - NEW EARTH MOVING
4340,SALES - NEW ELECTRICAL EQUIPMENT,4340-SALES - NEW ELECTRICAL EQUIPMENT
4341,SALES - NEW COMPRESSOR EQUIPMENT SMALL,4341-SALES - NEW COMPRESSOR EQUIPMENT SMALL
4343,SALES - NEW COMPRESSOR EQUIPMENT LARGE,4343-SALES - NEW COMPRESSOR EQUIPMENT LARGE
4346,SALES - NEW POWER EQUIPMENT LARGE,4346-SALES - NEW POWER EQUIPMENT LARGE
4355,SALES - NEW SHORING EQUIPMENT,4355-SALES - NEW SHORING EQUIPMENT
4356,SALES - NEW POWER EQUIPMENT SMALL,4356-SALES - NEW POWER EQUIPMENT SMALL
4357,SALES - NEW FORKLIFT EQUIPMENT,4357-SALES - NEW FORKLIFT EQUIPMENT
4358,SALES - NEW HCIAQ EQUIPMENT LARGE,4358-SALES - NEW HCIAQ EQUIPMENT LARGE
4361,SALES - NEW HCIAQ EQUIPMENT SMALL,4361-SALES - NEW HCIAQ EQUIPMENT SMALL
4365,SALES - NEW INDUSTRIAL EQUIPMENT,4365-SALES - NEW INDUSTRIAL EQUIPMENT
4368,SALES - NEW PUMP EQUIPMENT,4368-SALES - NEW PUMP EQUIPMENT
4410,SALES - USED SITE SERVICES(TRADE-INS),4410-SALES - USED SITE SERVICES(TRADE-INS)
4420,SALES - RENTAL ACCESSORIES,4420-SALES - RENTAL ACCESSORIES
4430,SALES - EARTH MOVING RENTAL FLEET,4430-SALES - EARTH MOVING RENTAL FLEET
4440,SALES - USED ELECTRICAL EQUIPMENT,4440-SALES - USED ELECTRICAL EQUIPMENT
4441,SALES - COMPRESSOR RENTAL FLEET SMALL,4441-SALES - COMPRESSOR RENTAL FLEET SMALL
4443,SALES - COMPRESSOR RENTAL FLEET LARGE,4443-SALES - COMPRESSOR RENTAL FLEET LARGE
4445,RENTAL ACCESSORIES-ELECTRICAL,4445-RENTAL ACCESSORIES-ELECTRICAL
4446,SALES - POWER RENTAL FLEET LARGE,4446-SALES - POWER RENTAL FLEET LARGE
4455,SALES - SHORING RENTAL FLEET,4455-SALES - SHORING RENTAL FLEET
4456,SALES - POWER RENTAL FLEET SMALL,4456-SALES - POWER RENTAL FLEET SMALL
4457,SALES - FORKLIFT RENTAL FLEET,4457-SALES - FORKLIFT RENTAL FLEET
4458,SALES - HCIAQ RENTAL FLEET LARGE,4458-SALES - HCIAQ RENTAL FLEET LARGE
4461,SALES - HCIAQ RENTAL FLEET SMALL,4461-SALES - HCIAQ RENTAL FLEET SMALL
4465,SALES - INDUSTRIAL RENTAL FLEET,4465-SALES - INDUSTRIAL RENTAL FLEET
4468,SALES - PUMP RENTAL FLEET,4468-SALES - PUMP RENTAL FLEET
4510,GAIN/LOSS-OTH EQP SOLD FROM RF,4510-GAIN/LOSS-OTH EQP SOLD FROM RF
4520,CONSIGNMENT FEES,4520-CONSIGNMENT FEES
4530,GAIN/LOSS-CAT EQP SOLD FROM RF,4530-GAIN/LOSS-CAT EQP SOLD FROM RF
4600,EARLY PAY DISCOUNT,4600-EARLY PAY DISCOUNT
4700,INTERCOMPANY SALES - NEW EQUIPMENT,4700-INTERCOMPANY SALES - NEW EQUIPMENT
4710,INTERCOMPANY RENTALS - EQUIPMENT,4710-INTERCOMPANY RENTALS - EQUIPMENT
4720,INTERCOMPANY SALES - USED EQUIPMENT,4720-INTERCOMPANY SALES - USED EQUIPMENT
5001,DISCOUNTS,5001-DISCOUNTS
5010,DEPRECIATION ON RENTAL FLEET,5010-DEPRECIATION ON RENTAL FLEET
5020,DEPRECIATION ON BULK INVENTORY,5020-DEPRECIATION ON BULK INVENTORY
5025,DEPRECIATION ALLOCATION,5025-DEPRECIATION ALLOCATION
5030,FUEL FOR RENTAL FLEET,5030-FUEL FOR RENTAL FLEET
5040,RENTAL FLEET REPAIRS,5040-RENTAL FLEET REPAIRS
5045,THIRD PARTY REPAIRS TO EQUIPMENT,5045-THIRD PARTY REPAIRS TO EQUIPMENT
5050,RE-RENT COST,5050-RE-RENT COST
5055,RENTAL FLEET LEASES,5055-RENTAL FLEET LEASES
5060,RE-RENT REPAIR COST,5060-RE-RENT REPAIR COST
5070,DAMAGE WAIVER REPAIRS,5070-DAMAGE WAIVER REPAIRS
5073,COST OF INSURANCE BILLED TO CUSTOMER,5073-COST OF INSURANCE BILLED TO CUSTOMER
5075,NON-POOLED RENTAL FLEET REPAIRS,5075-NON-POOLED RENTAL FLEET REPAIRS
5080,TPC FREIGHT BILLED TO CUSTOMER,5080-TPC FREIGHT BILLED TO CUSTOMER
5090,RENTAL FLEET FUEL BILLED TO CUSTOMER,5090-RENTAL FLEET FUEL BILLED TO CUSTOMER
5099,ERROR SUSPENSE,5099-ERROR SUSPENSE
5110,COST OF PARTS BILLED TO CUSTOMER,5110-COST OF PARTS BILLED TO CUSTOMER
5115,PARTS CAPITALIZED TO EQUIPMENT,5115-PARTS CAPITALIZED TO EQUIPMENT
5120,COST OF CAT PARTS - BILLED TO CUSTOMER,5120-COST OF CAT PARTS - BILLED TO CUSTOMER
5140,BULK MERCH BILL TO CUST,5140-BULK MERCH BILL TO CUST
5150,COST OF RETAIL MERCHANDISE,5150-COST OF RETAIL MERCHANDISE
5190,INVENTORY ADJUSTMENT,5190-INVENTORY ADJUSTMENT
5210,COST OF SERVICE LABOR BILLED,5210-COST OF SERVICE LABOR BILLED
5215,CTRS LABOUR CHARGED TO EQUIP,5215-CTRS LABOUR CHARGED TO EQUIP
5230,THIRD PARTY LABOUR BILLED TO CUSTOMER,5230-THIRD PARTY LABOUR BILLED TO CUSTOMER
5235,THIRD PARTY LABOUR  - CAPITALIZED,5235-THIRD PARTY LABOUR  - CAPITALIZED
5240,SERVICE COST OF SALES OTHER,5240-SERVICE COST OF SALES OTHER
5310,COST OF SALES - NEW SITE SERVICES EQUIPMENT,5310-COST OF SALES - NEW SITE SERVICES EQUIPMENT
5320,COST OF SALES - USED EQUIPMENT,5320-COST OF SALES - USED EQUIPMENT
5330,COST OF SALES - NEW EARTH MOVING,5330-COST OF SALES - NEW EARTH MOVING
5340,COST OF SALES - NEW ELECTRICAL FLEET,5340-COST OF SALES - NEW ELECTRICAL FLEET
5341,COST OF SALES - NEW COMPRESSOR EQUIPMENT SMALL,5341-COST OF SALES - NEW COMPRESSOR EQUIPMENT SMALL
5343,COST OF SALES - NEW COMPRESSOR EQUIPMENT LARGE,5343-COST OF SALES - NEW COMPRESSOR EQUIPMENT LARGE
5346,COST OF SALES - NEW POWER EQUIPMENT LARGE,5346-COST OF SALES - NEW POWER EQUIPMENT LARGE
5355,COST OF SALES - NEW SHORING EQUIPMENT,5355-COST OF SALES - NEW SHORING EQUIPMENT
5356,COST OF SALES - NEW POWER EQUIPMENT SMALL,5356-COST OF SALES - NEW POWER EQUIPMENT SMALL
5357,COST OF SALES - NEW FORKLIFT EQUIPMENT,5357-COST OF SALES - NEW FORKLIFT EQUIPMENT
5358,COST OF SALES - NEW HCIAQ EQUIPMENT LARGE,5358-COST OF SALES - NEW HCIAQ EQUIPMENT LARGE
5361,COST OF SALES - NEW HCIAQ EQUIPMENT SMALL,5361-COST OF SALES - NEW HCIAQ EQUIPMENT SMALL
